nrNodes nrCollisions nrTransmissions OverallEnergy nrReceived nrProcessed timeToFly
180 978 121162 21093.8660782 120184 121162 159802015.744
190 978 127929 22271.9763087 126951 127929 168727093.248
200 1300 135000 23503.01184 133700 135000 178053120.0
210 1371 140407 24444.3509883 139035 140406 185184477.184
220 1509 147849 25739.976278 146340 147849 194999820.288
230 1671 154378 26876.6515692 152707 154378 203610996.736
240 1723 161946 28194.2130033 160222 161945 213592522.752
250 1766 167949 29239.3135964 166182 167948 221509951.488
260 2015 174381 30359.1015383 172366 174381 229993193.472
270 2238 182129 31708.0003215 179891 182129 240212123.648
280 2416 187915 32715.3219994 185499 187915 247843348.48
290 2324 194286 33824.4900618 191962 194286 256246136.832
300 2657 201210 35029.9334246 198549 201206 265378283.52
310 2904 207863 36188.1966674 204959 207863 274153005.056
320 3078 214272 37303.9803924 211194 214272 282605912.064
330 3076 221295 38526.6592973 218219 221295 291868631.04
340 3613 227846 39667.1647089 224232 227845 300508823.552
350 3758 235463 40993.2568658 231703 235461 310554976.256
360 3806 241834 42102.4249283 238028 241834 318957764.608
370 3719 247571 43101.2158833 243851 247570 326524362.752
380 4399 254386 44287.6827402 249987 254386 335512748.032
390 4661 260759 45397.1989955 256097 260758 343918174.208
400 4826 269111 46851.2519946 264285 269111 354933727.232
410 5259 275650 47989.6682496 270389 275648 363558092.8
420 5197 282648 49207.9947448 277450 282647 372787838.976
430 5909 288291 50190.4206397 282382 288291 380230459.392
440 5755 295297 51410.139906 289541 295296 389470756.864
450 6033 301576 52503.2911012 295542 301575 397752205.312
460 6137 308818 53764.0971141 302681 308818 407303766.016
470 6697 314591 54769.1555389 307893 314590 414917844.992
480 6957 322043 56066.5217925 315084 322041 424746377.216
490 7437 328526 57195.18865 321089 328526 433296883.712
500 7197 336238 58537.8199634 329041 336238 443468333.056
1 0 628 109.332529152 628 628 828276.736
10 4 6752 1175.49878477 6748 6752 8905293.824
20 10 13182 2294.93853389 13172 13182 17385897.984
30 14 20080 3495.85539072 20065 20079 26483752.96
40 52 27049 4709.13309082 26997 27049 35675250.688
50 82 33869 5896.4704297 33787 33869 44670230.528
60 146 40036 6970.12282982 39890 40036 52803960.832
70 179 46622 8116.72161485 46443 46622 61490315.264
80 209 53789 9364.47039898 53580 53789 70942957.568
90 280 60467 10527.0860513 60187 60467 79750651.904
100 364 66914 11649.485439 66550 66914 88253677.568
110 308 74197 12917.4294036 73889 74197 97859313.664
120 420 80398 13997.0010808 79978 80398 106037886.976
130 548 87586 15248.405889 87038 87586 115518226.432
140 584 93938 16354.2661202 93353 93937 123895955.456
150 724 100839 17555.7052662 100115 100839 132997767.168
160 735 107717 18753.1401953 106982 107717 142069243.904
170 939 114506 19935.0805463 113567 114506 151023337.472
180 1060 120948 21056.609452 119888 120948 159519768.576
190 1099 127432 22185.4504059 126332 127431 168071593.984
200 1207 134892 23484.2094305 133685 134892 177910677.504
210 1370 140107 24392.1220731 138737 140107 184788803.584
220 1622 147333 25650.1425439 145711 147333 194319261.696
230 1352 154601 26915.4750628 153248 154600 203905114.112
240 1733 161275 28077.3943296 159542 161275 212707532.8
